Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Day,Order Day of Week,Order to Ship Duration,Total Revenue,Average Profit per Unit,Profit Margin,Discounted Sales,High Value Customer,Category,Sub-Category,Product Name,printer_related,Customer Name,Segment,Country
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.9136,2016,11,8,1,3,523.92,20.9568,0.16000000000000003,261.96,True,Furniture,Bookcases,Bush Somerset Collection Bookcase,False,Claire Gute,Consumer,United States
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0.0,219.582,2016,11,8,1,3,2195.82,73.194,0.3,731.94,True,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",False,Claire Gute,Consumer,United States
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.8714,2016,6,12,6,4,29.24,3.4357,0.47000000000000003,14.62,True,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,False,Darrin Van Huff,Corporate,United States
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,2015,10,11,6,7,4787.8875,-76.6062,-0.4,526.667625,True,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,False,Sean O'Donnell,Consumer,United States
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,2015,10,11,6,7,44.736,1.2582,0.1125,17.8944,True,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,False,Sean O'Donnell,Consumer,United States
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.1694,2014,6,9,0,5,342.02,2.0242,0.29,48.86,True,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",False,Brosina Hoffman,Consumer,United States
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.9656,2014,6,9,0,5,29.12,0.4914,0.27,7.28,True,Office Supplies,Art,Newell 322,False,Brosina Hoffman,Consumer,United States
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,2014,6,9,0,5,5442.912,15.1192,0.09999999999999999,725.7216000000001,True,Technology,Phones,Mitel 5320 IP Phone VoIP phone,False,Brosina Hoffman,Consumer,United States
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,2014,6,9,0,5,55.512,1.9275,0.31249999999999994,14.803200000000002,True,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,False,Brosina Hoffman,Consumer,United States
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.47,2014,6,9,0,5,574.5,6.894,0.3,114.9,True,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,False,Brosina Hoffman,Consumer,United States
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,2014,6,9,0,5,15355.655999999999,9.4788,0.05,1364.9472,True,Furniture,Tables,Chromcraft Rectangular Conference Tables,False,Brosina Hoffman,Consumer,United States
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,2014,6,9,0,5,3645.696,17.0892,0.07500000000000001,729.1392000000001,True,Technology,Phones,Konftel 250 Conference phone - Charcoal black,False,Brosina Hoffman,Consumer,United States
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,2017,4,15,5,5,46.656,1.8144,0.35000000000000003,12.441600000000001,True,Office Supplies,Paper,Xerox 1967,False,Andrew Allen,Consumer,United States
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,2016,12,5,0,5,1223.9279999999999,44.197399999999995,0.32499999999999996,326.3808,True,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,False,Irene Maddox,Consumer,United States
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,2015,11,22,6,4,344.05,-24.7716,-1.8,13.761999999999997,True,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",False,Harold Pawlan,Home Office,United States
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,2015,11,22,6,4,7.632,-1.272,-1.5,0.5087999999999999,True,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,False,Harold Pawlan,Home Office,United States
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.3176,2014,11,11,1,7,3995.2799999999997,2.2196000000000002,0.02,665.88,True,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",False,Pete Kriz,Consumer,United States
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.99,2014,5,13,1,2,111.0,4.995,0.18,55.5,True,Office Supplies,Storage,Fellowes Super Stor/Drawer,False,Alejandro Grove,Consumer,United States
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0.0,5.0596,2016,12,9,4,4,136.22,0.7228,0.25999999999999995,19.46,True,Office Supplies,Art,Newell 318,False,Ken Black,Corporate,United States
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0.0,15.6884,2016,12,9,4,4,422.38,2.2412,0.25999999999999995,60.34,True,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",False,Ken Black,Corporate,United States
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,2017,7,16,6,2,142.744,-0.5098,-0.014285714285714287,49.9604,False,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",False,Sandra Flanagan,Consumer,United States
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0.0,240.2649,2015,9,25,4,5,3133.8900000000003,80.0883,0.22999999999999998,1044.63,True,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,False,Emily Burns,Consumer,United States
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,2016,1,16,5,4,23.296,2.1112,0.36250000000000004,9.3184,False,Office Supplies,Binders,Wilson Jones Active Use Binders,False,Eric Hoffmann,Consumer,United States
